year,department,isic_section,sector_label,value
2024,beni,,VALOR AGREGADO BRUTO,2.229327109354506
2024,beni,A,"Agricultura, ganaderia, silvicultura y pesca",-0.4642361820407716
2024,beni,B,Actividad extractiva,2.2604991112587753
2024,beni,C,Industrias manufactureras,0.2392052658259378
2024,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",0.009586934846646265
2024,beni,F,Construcción,0.19481628005026952
2024,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,-0.3570738652240369
2024,beni,H,Transporte y almacenamiento,0.2414661491430418
2024,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,0.13360962925017045
2024,beni,J,Comunicación e informaciones,0.05198110319839351
2024,beni,K,Actividades financieras y de seguros,0.034939277338233446
2024,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",-0.6146180911221302
2024,beni,O,Administracion publica,0.040815099759335866
2024,beni,P,Enseñanza,0.1289160745516433
2024,beni,Q,Actividades de atencion de la salud humana y de asistencia social,0.07745539630055695
2024,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",0.2519649262184516
2018,chuquisaca,,Impuestos netos de subvenciones a los productos,0.22807263305796133
2018,chuquisaca,,PRODUCTO INTERNO BRUTO,3.3772206792916535
2018,chuquisaca,,VALOR AGREGADO BRUTO,3.1491480462336963
2018,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",0.6098404743897968
2018,chuquisaca,B,Actividad extractiva,0.594980902872092
2018,chuquisaca,C,Industrias manufactureras,0.36613292247315066
2018,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",0.03000518505735386
2018,chuquisaca,F,Construcción,-0.6612132455486989
2018,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,0.4915742109948063
2018,chuquisaca,H,Transporte y almacenamiento,0.25963401033936223
2018,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,0.18536849185607177
2018,chuquisaca,J,Comunicación e informaciones,-0.01401534080807874
2018,chuquisaca,K,Actividades financieras y de seguros,0.12722655931622856
2018,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",0.736642742523168
2018,chuquisaca,O,Administracion publica,-0.22811754341700866
2018,chuquisaca,P,Enseñanza,0.3705674305833868
2018,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,0.42385048499728406
2018,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",-0.14332923939521147
2019,chuquisaca,,Impuestos netos de subvenciones a los productos,-0.22375591079503804
2019,chuquisaca,,PRODUCTO INTERNO BRUTO,1.0493799887152164
2019,chuquisaca,,VALOR AGREGADO BRUTO,1.27313589951023
2019,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",0.14196905973919244
2019,chuquisaca,B,Actividad extractiva,1.0341360538175683
2019,chuquisaca,C,Industrias manufactureras,0.06823073600755407
2019,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",-0.022704388762085914
2019,chuquisaca,F,Construcción,-0.124017894599246
2019,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,-0.07265628835729956
2019,chuquisaca,H,Transporte y almacenamiento,0.07572822081204231
2019,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,-0.05131857914445558
2019,chuquisaca,J,Comunicación e informaciones,-0.11494551303325336
