year,department,isic_section,sector_label,value
2020,chuquisaca,,Impuestos netos de subvenciones a los productos,744.4243164428689
2020,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),13961.586891999923
2020,chuquisaca,,VALOR AGREGADO BRUTO,13201.471054003401
2020,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",1247.7968092501583
2020,chuquisaca,B,Actividad extractiva,2198.5833121661026
2020,chuquisaca,C,Industrias manufactureras,986.1902386998835
2020,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",175.02347697234276
2020,chuquisaca,F,Construcción,789.150719985069
2020,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,577.7841786092515
2020,chuquisaca,H,Transporte y almacenamiento,622.0432554154937
2020,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,647.1710386149389
2020,chuquisaca,J,Comunicación e informaciones,315.08583941460734
2020,chuquisaca,K,Actividades financieras y de seguros,508.7437429424
2020,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1740.7454080952284
2020,chuquisaca,O,Administracion publica,851.3141001391813
2020,chuquisaca,P,Enseñanza,1069.9016945739675
2020,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,1104.0235841046012
2020,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",339.7841073639327
2021,chuquisaca,,Impuestos netos de subvenciones a los productos,847.034008802023
2021,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),14352.727780293248
2021,chuquisaca,,VALOR AGREGADO BRUTO,13502.43563396868
2021,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",1341.3914057752945
2021,chuquisaca,B,Actividad extractiva,1891.088517286638
2021,chuquisaca,C,Industrias manufactureras,1030.330266538419
2021,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",190.4011195105312
2021,chuquisaca,F,Construcción,830.0822331346037
2021,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,659.3078997270002
2021,chuquisaca,H,Transporte y almacenamiento,733.2482188272777
2021,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,765.6280380488392
2021,chuquisaca,J,Comunicación e informaciones,320.512426742051
2021,chuquisaca,K,Actividades financieras y de seguros,515.6055997335468
2021,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1707.1791373458257
2021,chuquisaca,O,Administracion publica,873.2214776866301
2021,chuquisaca,P,Enseñanza,1070.4377199694325
2021,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,1173.1335215722786
2021,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",344.3261531255908
2022,chuquisaca,,Impuestos netos de subvenciones a los productos,914.6587755636191
2022,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),15197.106476348028
2022,chuquisaca,,VALOR AGREGADO BRUTO,14280.153907861612
2022,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",1330.9074985820046
2022,chuquisaca,B,Actividad extractiva,2164.847651837786
2022,chuquisaca,C,Industrias manufactureras,1114.1473008677165
2022,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",199.5855785753763
2022,chuquisaca,F,Construcción,806.3237862969863
2022,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,739.6023190177349
2022,chuquisaca,H,Transporte y almacenamiento,779.0684769285327
2022,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,925.9273589139597
2022,chuquisaca,J,Comunicación e informaciones,347.2041094432975
2022,chuquisaca,K,Actividades financieras y de seguros,520.179773464208
2022,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1919.2483706793826
2022,chuquisaca,O,Administracion publica,870.1433096704683
2022,chuquisaca,P,Enseñanza,1067.1783179572685
2022,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,1034.756798290397
2022,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",408.46723967184494
2023,chuquisaca,,Impuestos netos de subvenciones a los productos,957.366697042453
2023,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),15493.808404182206
2023,chuquisaca,,VALOR AGREGADO BRUTO,14534.842129517654
2023,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",1473.7292788424813
2023,chuquisaca,B,Actividad extractiva,2251.216725706071
2023,chuquisaca,C,Industrias manufactureras,1165.3683258196052
2023,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",196.9527423484311
2023,chuquisaca,F,Construcción,709.3779128309433
2023,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,779.0901138237609
2023,chuquisaca,H,Transporte y almacenamiento,782.3110927619259
2023,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,964.3342679270525
2023,chuquisaca,J,Comunicación e informaciones,350.2343147556431
2023,chuquisaca,K,Actividades financieras y de seguros,552.764749880076
2023,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1802.5860165174295
2023,chuquisaca,O,Administracion publica,924.243925107305
2023,chuquisaca,P,Enseñanza,1077.993373917708
2023,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,1155.6534436326876
2023,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",320.31482309404566
2024,chuquisaca,,Impuestos netos de subvenciones a los productos,891.4773230906933
2024,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),15444.22820981656
2024,chuquisaca,,VALOR AGREGADO BRUTO,14549.236334986403
2024,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",1648.9251220295564
2024,chuquisaca,B,Actividad extractiva,1777.0179758038753
2024,chuquisaca,C,Industrias manufactureras,1190.361315312398
2024,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",196.46993872804487
2024,chuquisaca,F,Construcción,710.0095766413839
2024,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,808.8015159006941
2024,chuquisaca,H,Transporte y almacenamiento,792.454263614895
2024,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,957.5799521346843
