year,sector,gva,department
1992,PRODUCTO INTERNO BRUTO (a precios básicos),620618.6191500572,beni
1992,PRODUCTO INTERNO BRUTO (a precios de mercado),631767.2159365203,beni
1992,Servicios Bancarios Imputados,-2628.7565940058444,beni
1993,- Alimentos,88910.66912463424,beni
1993,- Bebidas y Tabaco,611.9312222890208,beni
1993,- Coca,0.0,beni
1993,- Comunicaciones,6657.981392162445,beni
1993,- Madera y Productos de Madera,3340.691584078345,beni
1993,- Minerales Metálicos y no Metálicos,13165.679211046823,beni
1993,- Otras Industrias Manufactureras,3540.5557024973523,beni
1993,- Petróleo Crudo y Gas Natural,0.0,beni
1993,- Productos Agrícolas Industriales,3487.668494795806,beni
1993,- Productos Agrícolas no Industriales,39855.93964080481,beni
1993,- Productos Pecuarios,175855.17133914097,beni
1993,- Productos de Minerales no Metálicos,6391.808725790461,beni
1993,- Productos de Refinación del Petróleo,0.0,beni
1993,- Propiedad de Vivienda,36800.92932249923,beni
1993,- Servicios Financieros,2154.059652996599,beni
1993,- Servicios a las Empresas,8010.369534273291,beni
1993,"- Silvicultura, Caza y Pesca",34496.07758453614,beni
1993,"- Textiles, Prendas de Vestir y Productos del Cuero",10676.884662313305,beni
1993,- Transporte y Almacenamiento,35901.11591411162,beni
1993,"1. Agricultura, Silvicultura, Caza y Pesca",253694.85705927774,beni
1993,10. Restaurantes y Hoteles,24563.7971253382,beni
1993,11. Servicios de la Administración Pública,52575.090039999995,beni
1993,2. Extracción de Minas y Canteras,13165.679211046823,beni
1993,3. Industrias Manufactureras,113472.54102160271,beni
1993,"4. Electricidad, Gas y Agua",4360.6797181530765,beni
1993,5. Construcción,17296.35975764304,beni
1993,6. Comercio,55131.44789950774,beni
1993,"7. Transporte, Almacenamiento y Comunicaciones",42559.09730627407,beni
1993,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",46965.35850976912,beni
1993,"9. Servicios Comunales, Sociales, Personales y Domésticos",22672.5042588282,beni
1993,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",10264.639516970554,beni
1993,PRODUCTO INTERNO BRUTO (a precios básicos),644476.1159321779,beni
1993,PRODUCTO INTERNO BRUTO (a precios de mercado),654740.7554491485,beni
1993,Servicios Bancarios Imputados,-1981.2959752628287,beni
1994,- Alimentos,88093.89292818127,beni
