date,year,quarter,"AGRICULTURA, SILVICULTURA, CAZA Y PESCA",PETRÓLEO CRUDO Y GAS NATURAL,MINERALES METÁLICOS Y NO METÁLICOS,INDUSTRIA MANUFACTURERA,"ELECTRICIDAD, GAS Y AGUA",CONSTRUCCIÓN,COMERCIO,TRANSPORTE Y COMUNICACIONES,"ESTABLECIMIENTOS FINANCIEROS, SEGUROS, BIENES INMUEBLES Y SERVICIOS A LAS EMPRESAS",SERVICIOS DE LA ADMINISTRACIÓN PÚBLICA,OTROS SERVICIOS,SERVICIOS BANCARIOS IMPUTADOS,PIB A PRECIOS BÁSICOS,"DERECHOS DE IMPORTACIÓN, IVA, IT Y OTROS IMPUESTOS INDIRECTOS",PIB A PRECIOS DE MERCADO
1999-04-01,1999,2,1008166.2722731044,227138.8094507029,244306.93298315117,922703.2202392904,113764.68368254567,191209.38992587212,489801.3971998501,576143.1418681358,759087.3756501589,465183.5693489182,415011.14904754964,-206670.3001175634,5205845.641551716,425680.16369479103,5631525.805246508
1999-07-01,1999,3,637519.5013368484,272567.1367315596,270296.8117763505,940298.647077288,106172.381679927,218293.6205534355,438819.81289985066,611113.6307858475,834802.3395686032,513160.41621458315,420046.0242317317,-304881.85745442234,4958208.465401604,427647.02480637684,5385855.49020798
1999-10-01,1999,4,674719.2849882981,242626.99721953255,282714.35105466365,880193.5705093524,134376.53526926556,249600.29248007323,466064.93069224164,589541.4227377941,790705.437006418,584076.8616961493,419181.247866222,-128045.41837670979,5185755.5131433,464227.12321690243,5649982.636360203
2000-01-01,2000,1,769435.3375538313,230935.27216221517,255392.16350088603,892903.0232295146,100885.50908595651,165640.98249786752,438167.720861286,563317.0891680846,743844.0204196145,463522.67237429693,425104.5846466161,-233077.74231700663,4816070.633183163,433447.57385185215,5249518.207035014
2000-04-01,2000,2,1049707.20742255,235792.6746494853,258709.03569813477,940129.2005721248,117926.47992223446,186867.27298191344,510161.0082793613,587800.1356527138,866895.5059401114,503233.12527145405,429549.4723053969,-228796.32143419338,5457974.797261287,446026.24563478347,5904001.0428960705
2000-07-01,2000,3,654999.7258463197,311855.0272952301,271686.0464600374,935180.9130013457,107449.16235203015,194598.57396273076,451538.17701536394,619742.9090088555,758333.2827084903,488747.19340378337,432203.3307877877,-227876.98770620007,4998457.354135775,442333.9802763388,5440791.334412114
2000-10-01,2000,4,703984.8323717813,312790.0931366176,268850.5977911532,930318.5927567479,133458.00999011777,237750.18113871603,491334.3311409284,614114.2862589739,771419.9794022979,568498.9401373332,431386.7505177371,-204321.36654260007,5259585.228099805,502369.49427290703,5761954.722372713
2001-01-01,2001,1,786673.3581646173,228012.87232730328,235259.5619404029,876098.0661019983,100037.82248904362,166858.56457089132,432527.3796658611,582361.2446578278,734752.93520099,465031.56461110857,436143.87824404694,-226953.0234391827,4816804.224534909,432324.7110500297,5249128.935584939
2001-04-01,2001,2,1083601.848138549,233922.18864123838,258656.7036865969,987262.1083162512,117694.44322601579,171840.2219160059,500330.2647037161,582979.1229016036,868576.843914821,489146.21769199765,435875.3301915048,-222644.03014824126,5507241.263180059,450061.65349519503,5957302.916675255
2001-07-01,2001,3,687286.0912677068,291926.00997059606,262337.8941722239,980381.6787977818,108283.11540009822,184557.3323126088,465962.9634103964,657095.3934629231,757897.1377320464,513911.25127560523,444825.5292500924,-223562.03008944303,5130902.366962638,450871.1386193163,5581773.5055819545
