year,department,isic_section,sector_label,value
2024,beni,H,Transporte y almacenamiento,87.50023914026583
2024,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,116.4158653412677
2024,beni,J,Comunicación e informaciones,121.410888002283
2024,beni,K,Actividades financieras y de seguros,119.03877276087589
2024,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",128.59988838659044
2024,beni,O,Administracion publica,99.63220846703013
2024,beni,P,Enseñanza,115.05668237954089
2024,beni,Q,Actividades de atencion de la salud humana y de asistencia social,160.01506420327797
2024,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",114.75037421855383
2017,chuquisaca,,Impuestos netos de subvenciones a los productos,100.0
2017,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),100.0
2017,chuquisaca,,VALOR AGREGADO BRUTO,100.0
2017,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",100.0
2017,chuquisaca,B,Actividad extractiva,100.0
2017,chuquisaca,C,Industrias manufactureras,100.0
2017,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",100.0
2017,chuquisaca,F,Construcción,100.0
2017,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,100.0
2017,chuquisaca,H,Transporte y almacenamiento,100.0
2017,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,100.0
2017,chuquisaca,J,Comunicación e informaciones,100.0
2017,chuquisaca,K,Actividades financieras y de seguros,100.0
2017,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",100.0
2017,chuquisaca,O,Administracion publica,100.0
2017,chuquisaca,P,Enseñanza,100.0
2017,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,100.0
2017,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",100.0
2018,chuquisaca,,Impuestos netos de subvenciones a los productos,103.41457295094128
2018,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),103.37722067929165
2018,chuquisaca,,VALOR AGREGADO BRUTO,103.37454720366135
2018,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",108.27317010285509
2018,chuquisaca,B,Actividad extractiva,104.25534118691058
2018,chuquisaca,C,Industrias manufactureras,104.48873375723657
2018,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",102.42447220287379
2018,chuquisaca,F,Construcción,93.2653309075514
2018,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,110.82910453092882
2018,chuquisaca,H,Transporte y almacenamiento,104.67188699421779
2018,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,103.16742317267381
2018,chuquisaca,J,Comunicación e informaciones,99.38065322167205
