year,department,isic_section,sector_label,value,base_year
1992,beni,,PRODUCTO INTERNO BRUTO (a precios básicos),620618.6191500572,1990
1992,beni,,PRODUCTO INTERNO BRUTO (a precios de mercado),631767.2159365203,1990
1992,beni,,Servicios Bancarios Imputados,-2628.7565940058444,1990
1993,beni,,- Alimentos,88910.66912463424,1990
1993,beni,,- Bebidas y Tabaco,611.9312222890208,1990
1993,beni,,- Coca,0.0,1990
1993,beni,,- Comunicaciones,6657.981392162445,1990
1993,beni,,- Madera y Productos de Madera,3340.691584078345,1990
1993,beni,,- Minerales Metálicos y no Metálicos,13165.679211046823,1990
1993,beni,,- Otras Industrias Manufactureras,3540.5557024973523,1990
1993,beni,,- Petróleo Crudo y Gas Natural,0.0,1990
1993,beni,,- Productos Agrícolas Industriales,3487.668494795806,1990
1993,beni,,- Productos Agrícolas no Industriales,39855.93964080481,1990
1993,beni,,- Productos Pecuarios,175855.17133914097,1990
1993,beni,,- Productos de Minerales no Metálicos,6391.808725790461,1990
1993,beni,,- Productos de Refinación del Petróleo,0.0,1990
1993,beni,,- Propiedad de Vivienda,36800.92932249923,1990
1993,beni,,- Servicios Financieros,2154.059652996599,1990
1993,beni,,- Servicios a las Empresas,8010.369534273291,1990
1993,beni,,"- Silvicultura, Caza y Pesca",34496.07758453614,1990
1993,beni,,"- Textiles, Prendas de Vestir y Productos del Cuero",10676.884662313303,1990
1993,beni,,- Transporte y Almacenamiento,35901.11591411162,1990
1993,beni,,"1. Agricultura, Silvicultura, Caza y Pesca",253694.85705927777,1990
1993,beni,,10. Restaurantes y Hoteles,24563.7971253382,1990
1993,beni,,11. Servicios de la Administración Pública,52575.090039999995,1990
1993,beni,,2. Extracción de Minas y Canteras,13165.679211046823,1990
1993,beni,,3. Industrias Manufactureras,113472.54102160272,1990
1993,beni,,"4. Electricidad, Gas y Agua",4360.6797181530765,1990
1993,beni,,5. Construcción,17296.35975764304,1990
1993,beni,,6. Comercio,55131.44789950774,1990
1993,beni,,"7. Transporte, Almacenamiento y Comunicaciones",42559.09730627407,1990
1993,beni,,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",46965.35850976912,1990
1993,beni,,"9. Servicios Comunales, Sociales, Personales y Domésticos",22672.5042588282,1990
1993,beni,,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",10264.639516970554,1990
1993,beni,,PRODUCTO INTERNO BRUTO (a precios básicos),644476.1159321779,1990
1993,beni,,PRODUCTO INTERNO BRUTO (a precios de mercado),654740.7554491485,1990
1993,beni,,Servicios Bancarios Imputados,-1981.2959752628287,1990
1994,beni,,- Alimentos,88093.89292818127,1990
1994,beni,,- Bebidas y Tabaco,622.5175183592432,1990
1994,beni,,- Coca,0.0,1990
1994,beni,,- Comunicaciones,11164.47432473274,1990
