date,roi,no2,n_valid_days,n_native_pixels
2024-08-01,la_paz_el_alto,2.6136998946636854e-05,436,30
2024-09-01,la_paz_el_alto,2.6046323970284184e-05,424,30
2024-10-01,la_paz_el_alto,2.0666037428859405e-05,440,30
2024-11-01,la_paz_el_alto,1.2951555835861869e-05,426,30
2024-12-01,la_paz_el_alto,1.1870279521643692e-05,438,30
2025-01-01,la_paz_el_alto,1.3283025661265879e-05,440,30
2025-02-01,la_paz_el_alto,9.280650997985978e-06,397,30
2025-03-01,la_paz_el_alto,1.0653853885375916e-05,439,28
2025-04-01,la_paz_el_alto,1.4841158252923977e-05,426,30
2025-05-01,la_paz_el_alto,2.7308563282614034e-05,438,30
2025-06-01,la_paz_el_alto,1.73956865356428e-05,426,30
2025-07-01,la_paz_el_alto,2.857559670457406e-05,440,30
2025-08-01,la_paz_el_alto,2.781519588947886e-05,439,30
2025-09-01,la_paz_el_alto,2.7293448711656133e-05,422,30
2025-10-01,la_paz_el_alto,1.9916561576573994e-05,338,30
2025-11-01,la_paz_el_alto,1.4278435084568702e-05,386,30
2025-12-01,la_paz_el_alto,1.4482226261454283e-05,440,30
2026-01-01,la_paz_el_alto,1.0675534150817368e-05,440,30
2026-02-01,la_paz_el_alto,1.1475616985364691e-05,394,30
2026-03-01,la_paz_el_alto,1.0625338326863752e-05,439,30
2026-04-01,la_paz_el_alto,1.0636940807008009e-05,227,30
