date,city,sol,n_valid_pixels,log_sol,trend_extrap,anomaly,stl_seasonal,stl_sa
2013-11-01,trinidad,1756.9620196274366,301,7.471341471349834,7.49670689883923,-0.07514180663799763,0.049776379148601335,7.421565092201233
2013-12-01,trinidad,1702.2055804852855,291,7.43968008943326,7.503852720127531,-0.0472080003200146,-0.016964630374256915,7.4566447198075165
2014-01-01,trinidad,1553.0173592213478,233,7.347955000949285,7.510998541415832,-0.062600770935898,-0.10044276953064903,7.448397770479934
2014-02-01,trinidad,1412.6745086441151,338,7.253240001332161,7.518144362704133,-0.11453707504063715,-0.15036728633133517,7.403607287663496
2014-03-01,trinidad,1291.1794035841806,291,7.163311346013135,7.525290183992434,-0.23239607921734962,-0.12958275876194938,7.292894104775084
2014-04-01,trinidad,1595.40917311719,277,7.374885517189213,7.532436005280735,-0.10932921551790553,-0.0482212725736159,7.423106789762829
2014-05-01,trinidad,1484.5549084328309,290,7.30287028134924,7.5395818265690355,-0.19209996175046573,-0.044611583469329134,7.34748186481857
2014-06-01,trinidad,1969.2218651178928,262,7.585393751376074,7.546727647857336,-0.04471346843892032,0.08337957195765787,7.502014179418416
2014-07-01,trinidad,1969.1904242339167,229,7.585377785102527,7.553873469145637,-0.05158645380860438,0.08309076976549432,7.502287015337033
2014-08-01,trinidad,2061.0213478801725,306,7.6309569388572775,7.561019290433938,-0.034722724901999236,0.10466037332533844,7.526296565531939
2014-09-01,trinidad,2194.8620049262963,342,7.693874455617874,7.568165111722239,0.03592146037080468,0.08978788352483053,7.604086572093044
2014-10-01,trinidad,2128.289447077038,351,7.663073859575146,7.57531093301054,0.03472742597012157,0.05303550059448457,7.6100383589806615
2014-11-01,trinidad,2097.352581229004,324,7.64843115278629,7.582456754298841,0.016899320858741795,0.04907507762870682,7.599356075157583
2014-12-01,trinidad,1927.9617477073537,252,7.564218634572917,7.589602575587142,-0.025386912675235074,2.9716610104536714e-06,7.564215662911907
2015-01-01,trinidad,2122.6266009638284,319,7.660409563503895,7.596748396875443,0.16214289211140454,-0.09848172548295252,7.758891288986847
2015-02-01,trinidad,1688.6634310868374,345,7.4316926258357165,7.6038942181637434,-0.036031329164932124,-0.13617026316309497,7.567862888998811
2015-03-01,trinidad,1732.369114646763,289,7.457245181108797,7.611040039452044,-0.061015621918264706,-0.09277923642498306,7.55002441753378
2015-04-01,trinidad,1869.007499556628,248,7.53316282005138,7.618185860740345,-0.02546175797982375,-0.05956128270914222,7.5927241027605215
2015-05-01,trinidad,1900.5584675859377,231,7.54990305227387,7.625331682028646,-0.026157994240922022,-0.04927063551385365,7.599173687787724
2015-06-01,trinidad,2022.4055197775351,276,7.612042933269193,7.632477503316947,-0.08228147434476352,0.06184690429700943,7.5501960289721834
2015-07-01,trinidad,2138.804699234844,265,7.6680024002083345,7.639623324605248,-0.048799452619983974,0.07717852822307016,7.590823871985264
2015-08-01,trinidad,2198.916338633136,291,7.695719944643729,7.646769145893549,-0.04086078773832913,0.0898115864885094,7.60590835815522
2015-09-01,trinidad,2206.8534342271996,349,7.699322994548673,7.65391496718185,-0.02020430705292764,0.0656123344197512,7.633710660128922
2015-10-01,trinidad,2250.4909675114577,359,7.7189036791774805,7.6610607884701505,-0.0015509219485281278,0.05939381265585808,7.659509866521622
2015-11-01,trinidad,2288.0254017480775,296,7.735444454600681,7.668206609758451,0.018356826877394816,0.04888101796483425,7.686563436635846
