date,roi,no2_tropos_col_mol_m2,n_valid_days,sensor
2009-03-01,la_paz_el_alto,8.159218629532e-06,17,OMI
2009-04-01,la_paz_el_alto,1.096019483634441e-05,16,OMI
2009-05-01,la_paz_el_alto,1.4902743215706318e-05,19,OMI
2009-06-01,la_paz_el_alto,1.5086824972529918e-05,23,OMI
2009-07-01,la_paz_el_alto,1.2721547680101551e-05,19,OMI
2009-08-01,la_paz_el_alto,1.8646169737931258e-05,22,OMI
2009-09-01,la_paz_el_alto,8.699910215254718e-06,15,OMI
2009-10-01,la_paz_el_alto,,13,OMI
2009-11-01,la_paz_el_alto,,13,OMI
2009-12-01,la_paz_el_alto,,10,OMI
2010-01-01,la_paz_el_alto,,6,OMI
2010-02-01,la_paz_el_alto,,8,OMI
2010-03-01,la_paz_el_alto,,13,OMI
2010-04-01,la_paz_el_alto,,11,OMI
2010-05-01,la_paz_el_alto,1.0542467531926161e-05,19,OMI
2010-06-01,la_paz_el_alto,1.3945265846137174e-05,20,OMI
2010-07-01,la_paz_el_alto,1.1075849726730657e-05,18,OMI
2010-08-01,la_paz_el_alto,1.1412587025291385e-05,20,OMI
2010-09-01,la_paz_el_alto,1.3281671778963897e-05,17,OMI
2010-10-01,la_paz_el_alto,,12,OMI
2010-11-01,la_paz_el_alto,,12,OMI
2010-12-01,la_paz_el_alto,,12,OMI
2011-01-01,la_paz_el_alto,,8,OMI
2011-02-01,la_paz_el_alto,,5,OMI
2011-03-01,la_paz_el_alto,,12,OMI
2011-04-01,la_paz_el_alto,,13,OMI
2011-05-01,la_paz_el_alto,1.5213554698697146e-05,18,OMI
2011-06-01,la_paz_el_alto,1.2317591381742727e-05,16,OMI
2011-07-01,la_paz_el_alto,1.160037758699536e-05,16,OMI
2011-08-01,la_paz_el_alto,1.2785630452530837e-05,16,OMI
2011-09-01,la_paz_el_alto,1.5208943867346078e-05,15,OMI
2011-10-01,la_paz_el_alto,,14,OMI
2011-11-01,la_paz_el_alto,,9,OMI
2011-12-01,la_paz_el_alto,,7,OMI
