date,roi,no2_tropos_col_mol_m2,n_valid_days,sd,month_of_year,base_mean,base_sd_pooled,anomaly_mult,z_vs_2019,post_subsidy_break,volcanic_flag
2023-11-01,la_paz_el_alto,1.3547709063217628e-05,425,,11,5.292696018231177e-06,8.323715628520184e-06,1.5596990676493228,0.9917461640209895,False,False
2023-12-01,la_paz_el_alto,8.403356497918399e-06,438,,12,7.1041248617796e-06,8.323715628520184e-06,0.1828841217485777,0.15608794126593437,False,False
2024-01-01,la_paz_el_alto,7.678942501751374e-06,432,,1,1.1831437128044168e-05,8.323715628520184e-06,-0.35097127942725537,-0.49887511919133604,False,False
2024-02-01,la_paz_el_alto,6.61374990625109e-06,407,,2,9.350419956991373e-06,8.323715628520184e-06,-0.2926788383118617,-0.3287798590047239,False,False
2024-03-01,la_paz_el_alto,7.332358025228613e-06,433,,3,9.947073047144532e-06,8.323715628520184e-06,-0.2628627546538944,-0.31412834587439775,False,False
2024-04-01,la_paz_el_alto,1.2305295241782848e-05,425,,4,1.3235605810154211e-05,8.323715628520184e-06,-0.0702884765318138,-0.11176626039262672,False,False
2024-05-01,la_paz_el_alto,2.2577805369360083e-05,439,,5,1.8671171588221335e-05,8.323715628520184e-06,0.2092334571871879,0.4693377279436542,False,False
2024-06-01,la_paz_el_alto,3.212163701614411e-05,426,,6,2.1968011333895777e-05,8.323715628520184e-06,0.46220049361417104,1.2198429325790743,False,False
2024-07-01,la_paz_el_alto,2.9733910607021216e-05,438,,7,2.7037113330928337e-05,8.323715628520184e-06,0.0997442753257225,0.3239895974884865,False,False
2024-08-01,la_paz_el_alto,2.6136998946636854e-05,436,,8,3.140955691738529e-05,8.323715628520184e-06,-0.16786476754882396,-0.6334380228803912,False,False
2024-09-01,la_paz_el_alto,2.6046323970284184e-05,424,,9,2.3477145364036945e-05,8.323715628520184e-06,0.10943317709242417,0.3086576621436064,False,False
2024-10-01,la_paz_el_alto,2.0666037428859405e-05,440,,10,1.3843298904235513e-05,8.323715628520184e-06,0.49285495977670446,0.8196746295904944,False,False
2024-11-01,la_paz_el_alto,1.2951555835861869e-05,426,,11,5.292696018231177e-06,8.323715628520184e-06,1.4470621005342164,0.920125117127807,False,False
2024-12-01,la_paz_el_alto,1.1870279521643692e-05,438,,12,7.1041248617796e-06,8.323715628520184e-06,0.6708996185450151,0.5725994102361511,False,False
2025-01-01,la_paz_el_alto,1.328302566126588e-05,440,,1,1.1831437128044168e-05,8.323715628520184e-06,0.12268911354656975,0.17439189395755234,False,False
2025-02-01,la_paz_el_alto,9.280650997985978e-06,397,,2,9.350419956991373e-06,8.323715628520184e-06,-0.007461585610732735,-0.008381948893873831,False,False
2025-03-01,la_paz_el_alto,1.0653853885375916e-05,439,,3,9.947073047144532e-06,8.323715628520184e-06,0.07105415179737484,0.0849116992668138,False,False
2025-04-01,la_paz_el_alto,1.4841158252923977e-05,426,,4,1.3235605810154211e-05,8.323715628520184e-06,0.12130555002914956,0.1928889109652591,False,False
2025-05-01,la_paz_el_alto,2.730856328261403e-05,438,,5,1.8671171588221335e-05,8.323715628520184e-06,0.46260576919777097,1.0376846206515922,False,False
2025-06-01,la_paz_el_alto,1.73956865356428e-05,426,,6,2.1968011333895777e-05,8.323715628520184e-06,-0.2081355808114529,-0.5493129513683132,False,False
2025-07-01,la_paz_el_alto,2.857559670457406e-05,440,,7,2.7037113330928337e-05,8.323715628520184e-06,0.05690264914064702,0.18483132321031015,False,False
2025-08-01,la_paz_el_alto,2.781519588947886e-05,439,,8,3.140955691738529e-05,8.323715628520184e-06,-0.11443526686353678,-0.4318216993851638,False,False
2025-09-01,la_paz_el_alto,2.7293448711656133e-05,422,,9,2.3477145364036945e-05,8.323715628520184e-06,0.16255397700374274,0.4584855511573577,False,False
2025-10-01,la_paz_el_alto,1.991656157657399e-05,338,,10,1.3843298904235513e-05,8.323715628520184e-06,0.43871498508786044,0.7296336087611154,False,False
2025-11-01,la_paz_el_alto,1.4278435084568702e-05,386,,11,5.292696018231177e-06,8.323715628520184e-06,1.697762167973623,1.079534605380919,False,False
2025-12-01,la_paz_el_alto,1.4482226261454284e-05,440,,12,7.1041248617796e-06,8.323715628520184e-06,1.038565839315281,0.8863951784218252,True,False
2026-01-01,la_paz_el_alto,1.0675534150817368e-05,440,,1,1.1831437128044168e-05,8.323715628520184e-06,-0.09769759706426129,-0.13886862896495894,True,False
2026-02-01,la_paz_el_alto,1.1475616985364693e-05,394,,2,9.350419956991373e-06,8.323715628520184e-06,0.22728359134118836,0.2553183125444116,True,False
2026-03-01,la_paz_el_alto,1.0625338326863752e-05,439,,3,9.947073047144532e-06,8.323715628520184e-06,0.06818742322536053,0.08148587842131794,True,False
2026-04-01,la_paz_el_alto,8.603824264195375e-06,181,,4,1.3235605810154211e-05,8.323715628520184e-06,-0.3499485865924916,-0.5564560050668489,True,False
2018-07-01,santa_cruz,1.3702670518902026e-05,426,,7,1.576919324819544e-05,7.524910740603905e-06,-0.131048094646814,-0.27462421821731386,False,False
2018-08-01,santa_cruz,3.244304385131505e-05,421,,8,2.554521845490459e-05,7.524910740603905e-06,0.27002413029222305,0.9166654109516893,False,False
2018-09-01,santa_cruz,3.6590493092249344e-05,414,,9,3.3203664100689825e-05,7.524910740603905e-06,0.10200166407204314,0.4500822811471265,False,False
2018-10-01,santa_cruz,2.066736941965478e-05,427,,10,2.227632780089513e-05,7.524910740603905e-06,-0.07222727173083243,-0.21381760351767642,False,False
2018-11-01,santa_cruz,1.4756973729417412e-05,425,,11,1.7760432104887264e-05,7.524910740603905e-06,-0.16910953279359509,-0.39913541555561527,False,False
2018-12-01,santa_cruz,8.488498758683296e-06,426,,12,1.009727394841333e-05,7.524910740603905e-06,-0.15932767576171736,-0.21379325884215383,False,False
2019-01-01,santa_cruz,1.4519667306765109e-05,440,,1,1.4519667306765109e-05,7.524910740603905e-06,0.0,0.0,False,False
2019-02-01,santa_cruz,1.0262766765664533e-05,396,,2,1.0262766765664533e-05,7.524910740603905e-06,0.0,0.0,False,False
2019-03-01,santa_cruz,1.1294356943485756e-05,440,,3,1.1294356943485756e-05,7.524910740603905e-06,0.0,0.0,False,False
2019-04-01,santa_cruz,1.0019583262093278e-05,417,,4,1.0019583262093278e-05,7.524910740603905e-06,0.0,0.0,False,False
2019-05-01,santa_cruz,9.304588980598436e-06,440,,5,9.304588980598436e-06,7.524910740603905e-06,0.0,0.0,False,False
2019-06-01,santa_cruz,1.1463676921917054e-05,425,,6,1.1463676921917054e-05,7.524910740603905e-06,0.0,0.0,False,False
2019-07-01,santa_cruz,1.576919324819544e-05,437,,7,1.576919324819544e-05,7.524910740603905e-06,0.0,0.0,False,False
2019-08-01,santa_cruz,2.554521845490459e-05,440,,8,2.554521845490459e-05,7.524910740603905e-06,0.0,0.0,False,False
2019-09-01,santa_cruz,3.3203664100689825e-05,425,,9,3.3203664100689825e-05,7.524910740603905e-06,0.0,0.0,False,False
2019-10-01,santa_cruz,2.227632780089513e-05,439,,10,2.227632780089513e-05,7.524910740603905e-06,0.0,0.0,False,False
2019-11-01,santa_cruz,1.7760432104887264e-05,424,,11,1.7760432104887264e-05,7.524910740603905e-06,0.0,0.0,False,False
2019-12-01,santa_cruz,1.009727394841333e-05,440,,12,1.009727394841333e-05,7.524910740603905e-06,0.0,0.0,False,False
2020-01-01,santa_cruz,1.3936782847343369e-05,439,,1,1.4519667306765109e-05,7.524910740603905e-06,-0.04014447763208451,-0.0774606476428398,False,False
2020-02-01,santa_cruz,1.1942485173965551e-05,407,,2,1.0262766765664533e-05,7.524910740603905e-06,0.1636711080603277,0.22322104091379752,False,False
2020-03-01,santa_cruz,1.134716264411676e-05,440,,3,1.1294356943485756e-05,7.524910740603905e-06,0.004675405682256217,0.007017452093626642,False,False
2020-04-01,santa_cruz,8.50259988810858e-06,425,,4,1.0019583262093278e-05,7.524910740603905e-06,-0.1514018432007892,-0.20159486620873251,False,False
