date,viirs_z,vnf_z,no2_z,aduana,gdp_q
2024-02-01,-1.5902221498811917,,0.02640063532967,-0.24195212625944018,
2024-03-01,-4.455092512513025,,-0.1635896637154199,0.4387750654608738,
2024-04-01,-1.2208313631890646,,-0.0449767132750101,-0.18110692134884507,0.04529659481861259
2024-05-01,-1.666388967086204,,0.2477336455017664,-0.001682483946686669,
2024-06-01,-1.685403419498335,,0.4473497505471892,-0.7243023621431103,
2024-07-01,-1.6580147485761327,,0.6097357054818946,1.7593041513925662,-0.014642209672011575
2024-08-01,-1.1616341192072417,,0.0496404251425419,-1.2020564703898438,
2024-09-01,-2.833314503061722,,1.164766102475829,-0.44830070069982536,
2024-10-01,-2.2644348992131,,0.8923429918054766,0.5189304616128987,0.07594437114368091
2024-11-01,-1.6343243846491955,,0.4722876519473845,-0.03304704092326378,
2024-12-01,-1.5940799336405582,,0.4750986413664965,0.5271474645677501,
2025-01-01,,,0.0560054219827101,-0.5848857515310302,
2025-02-01,-1.3226606116002615,,0.2374158712032663,0.17863647993335596,
2025-03-01,-2.07421774577669,,-0.1283326667873725,-0.987813398232489,
2025-04-01,-0.7147832720838494,,0.069745002228903,1.5716991892968348,
2025-05-01,-1.6551462911433723,,0.6165255831833157,-0.7193139743635422,
2025-06-01,-1.6127724154557608,,-0.453017311811609,-0.22531122883479357,
2025-07-01,-1.575217613192333,,0.25083459230077,0.4452015734174414,
2025-08-01,-1.6146549614471546,,-0.1014413607580873,0.7436955121815603,
2025-09-01,-1.8506471832844669,,0.4463127824337066,-0.8211514060723025,
2025-10-01,-1.5581324727430903,,0.3848940539136384,0.8812742886370498,
2025-11-01,-1.5730094174741391,,0.2630144678908888,-0.12371707154603984,
2025-12-01,-1.7038613200127426,,0.556148435241386,1.3042575597488537,
2026-01-01,-1.7907528622430038,,-0.1743465683771478,-2.9663967479213187,
2026-02-01,-1.7214304343799691,,0.4068345256411637,0.8921159379633455,
2026-03-01,,,0.1337341544644588,,
2026-04-01,,,-0.4514928262151899,,
